Smoothed Data,Actual Data
-201.90000000000003,178.75
-202.15000000000003,56.416666666666664
-202.11,241.625
-201.97000000000003,241.41666666666666
-202.22,149.54166666666666
-202.15999999999997,241.70833333333334
-202.29,241.08333333333334
-202.54000000000002,241.54166666666666
-202.41000000000003,180.54166666666666
-207.52000000000004,241.54166666666666
-207.70000000000002,241.25
-202.53,211.5
-202.58,241.75
-207.57000000000002,241.875
-207.63000000000002,210.04166666666666
-207.88000000000002,242.25
-207.91,241.54166666666666
-213.01000000000002,241.20833333333334
-213.21000000000004,242.0
-213.10000000000002,242.33333333333334
-217.99,241.375
-217.92000000000002,211.20833333333334
-217.87,241.625
-217.84,242.29166666666666
-212.91,242.33333333333334
-212.55,242.0
-212.52999999999997,241.875
-212.67,241.66666666666666
-212.76,241.29166666666666
-217.84000000000003,241.95833333333334
-217.87000000000003,241.95833333333334
-217.96000000000004,211.5
-218.01000000000002,242.54166666666666
-213.27,180.58333333333334
-213.26000000000002,242.04166666666666
-213.36,241.70833333333334
-213.11,243.25
-213.16000000000003,242.25
-213.21000000000004,241.83333333333334
-213.27,181.04166666666666
-218.56000000000003,241.75
-218.31000000000003,240.125
-218.4,242.58333333333334
-218.45999999999998,241.5
-218.42999999999998,242.16666666666666
-218.23000000000002,241.875
-218.26000000000005,241.91666666666666
-218.27,242.41666666666666
-218.51999999999998,240.45833333333334
-213.45,242.04166666666666
-218.57999999999998,241.91666666666666
-218.37,241.75
-218.45000000000002,242.04166666666666
-218.56,242.04166666666666
-218.58,242.0
-218.59,241.83333333333334
-213.31,242.20833333333334
-218.55,242.0
-218.42,241.875
-218.21,242.58333333333334
-218.49000000000004,241.16666666666666
-218.25000000000003,241.625
-213.15000000000003,242.25
-213.00000000000003,242.20833333333334
-218.01,241.83333333333334
-223.11,241.91666666666666
-223.17000000000002,242.41666666666666
-223.04000000000002,242.375
-222.92000000000002,242.41666666666666
-222.98999999999998,242.20833333333334
-223.36,241.91666666666666
-223.1,242.79166666666666
-222.85999999999999,240.875
-222.75,242.29166666666666
-222.53,242.0
-222.82,242.625
-227.87,242.08333333333334
-222.85,242.375
-218.14,242.08333333333334
-218.10000000000002,241.45833333333334
-218.45000000000002,242.08333333333334
-223.25000000000003,242.33333333333334
-223.21000000000004,242.33333333333334
-222.88000000000002,242.41666666666666
-222.81000000000003,242.5
-217.79999999999998,241.79166666666666
-212.83999999999995,241.41666666666666
-212.9,242.125
-213.04999999999998,242.375
-212.70000000000002,242.375
-212.64000000000004,242.375
-212.54000000000002,242.08333333333334
-212.25000000000003,242.16666666666666
-211.91000000000003,241.25
-212.02000000000004,240.625
-212.14000000000004,241.79166666666666
-212.17000000000004,242.04166666666666
-217.38,241.5
-217.41000000000003,241.41666666666666
-217.71000000000004,242.20833333333334
-217.94000000000003,242.25
-217.68,241.625
-217.73,242.0
-212.60999999999999,241.95833333333334
-212.57999999999998,240.75
-212.7,242.29166666666666
-207.33999999999997,242.41666666666666
-207.23999999999995,242.45833333333334
-202.23,242.16666666666666
-202.25,242.45833333333334
-202.20999999999995,241.83333333333334
-207.34,240.08333333333334
-207.24,241.70833333333334
-207.48999999999998,241.375
-207.34,242.125
-207.08999999999997,241.83333333333334
-206.98999999999998,240.79166666666666
-206.86,240.83333333333334
-206.65,242.45833333333334
-206.60000000000002,242.25
-206.89000000000001,241.08333333333334
-207.26999999999998,242.58333333333334
-202.12,242.45833333333334
-201.98,241.79166666666666
-201.69999999999996,242.125
-196.92,242.5
-197.04,241.66666666666666
-191.87,241.75
-191.81,241.54166666666666
-191.63,242.375
-191.69000000000003,241.04166666666666
-191.49000000000004,241.5
-191.5,242.20833333333334
-196.36,242.0
-191.27,241.875
-191.40000000000003,242.375
-186.57000000000005,242.25
-186.49,241.70833333333334
-186.44000000000003,241.91666666666666
-186.31,242.0
-186.2,242.66666666666666
-186.45999999999998,236.04166666666666
-186.35,240.83333333333334
-186.45000000000002,241.33333333333334
-186.52,241.5
-187.02000000000004,241.58333333333334
-186.86000000000004,242.25
-186.75000000000003,241.0
-181.37000000000003,241.83333333333334
-186.31,241.41666666666666
-181.06000000000003,241.75
-180.97000000000003,241.16666666666666
-181.22,239.95833333333334
-181.1,241.29166666666666
-181.41,241.91666666666666
-181.39000000000001,241.54166666666666
-186.52,241.25
-186.62,241.41666666666666
-181.68,242.58333333333334
-181.66000000000003,241.70833333333334
-181.67000000000002,242.08333333333334
-181.62000000000003,241.625
-186.82000000000002,242.125
-187.14000000000001,240.20833333333334
-182.12000000000003,242.45833333333334
-181.97,241.625
-181.76999999999998,241.83333333333334
-181.57,242.83333333333334
-181.58,241.66666666666666
-181.36999999999998,242.125
-181.10999999999999,241.875
-181.23000000000002,241.41666666666666
-181.42,242.625
-186.51,240.70833333333334
-186.51,234.5
-186.34,241.375
-186.35000000000002,240.75
-191.28,242.04166666666666
